postcode,latitude,longitude
3000-vic,-37.8142135,144.96314500104864
3001-vic,-37.8143271,144.96260393333333
3002-vic,-37.812872,144.981886
3003-vic,-37.809332,144.925223
3004-vic,-37.837281,144.97270967380712
3005-vic,-37.821972,144.952728
3006-vic,-37.825243,144.960278
3007-vic,-12.4643506,130.842693
3008-vic,-37.817837,144.93955
3009-vic,-12.4643506,130.842693
3010-vic,-37.795868,144.961198
3011-vic,-37.799522,144.896394
3012-vic,-37.803234,144.85898
3013-vic,-37.817976,144.881972
3014-vic,-12.4643506,130.842693
3015-vic,-37.837628,144.882222
3016-vic,-37.859128,144.88479
3017-vic,-12.4643506,130.842693
3018-vic,-37.860307,144.815007
3019-vic,-37.786705,144.854842
3020-vic,-37.783321,144.824052
3021-vic,-37.74268,144.800379
3022-vic,-37.775857,144.80144
3023-vic,-37.754459,144.758472
3024-vic,-37.815944,144.596917
3025-vic,-37.837926,144.834702
3026-vic,-37.830019,144.78719
3027-vic,-37.86178,144.749469
3028-vic,-37.878006,144.780049
3029-vic,-37.840418,144.703389
3030-vic,-37.92622,144.682939
3031-vic,-37.7882221,144.9313004
3032-vic,-37.774723,144.900006
3033-vic,-37.738346,144.856086
3034-vic,-37.761552,144.862606
3035-vic,-12.4643506,130.842693
3036-vic,-37.694454,144.806848
3037-vic,-37.699836,144.755559
3038-vic,-37.706867,144.794122
3039-vic,-37.765626,144.921429
3040-vic,-37.752049,144.905478
3041-vic,-37.729458,144.907161
3042-vic,-37.725277,144.871043
3043-vic,-37.700134,144.881286
3044-vic,-38.6014735,145.58991324216032
3045-vic,-37.676422,144.836519
3046-vic,-37.706615,144.930952
3047-vic,-37.681097,144.930917
3048-vic,-37.653423,144.925038
3049-vic,-37.671066,144.889375
3050-vic,-37.79896125,144.95618445
3051-vic,-37.798566,144.945165
3052-vic,-37.785755,144.950045
3053-vic,-37.800421,144.968419
3054-vic,-37.785712,144.968127
3055-vic,-37.763319,144.942536
3056-vic,-37.766442,144.961267
3057-vic,-37.768903,144.977668
3058-vic,-37.73749,144.965545
3059-vic,-37.646322,144.873285
3060-vic,-37.705235,144.969606
3061-vic,-37.648006949999996,144.94457782313486
3062-vic,-37.634683,144.950763
3063-vic,-37.598454,144.86205
3064-vic,-37.55699,144.918335
3065-vic,-37.801044,144.979133
3066-vic,-37.802091,144.988136
3067-vic,-37.804598,144.999762
3068-vic,-37.786685,144.989728
3069-vic,-12.4643506,130.842693
3070-vic,-37.772822,145.000962
3071-vic,-37.758288,145.005138
3072-vic,-37.741871,145.007822
3073-vic,-37.712264,145.006912
